# k, Delta^2 (mK)
# green line in Fig. 4 of Adam's sensitivity paper
0.037805389908116965, 0.000702300183312346
0.0632069209379826, 0.0053581736779794486
0.10196406387809841, 0.007140309327377976
0.15636007511615485, 0.017084957738948383
0.2579165351445834, 0.0621963627735306
0.3938705694252524, 0.16804270518001838
