# ell, Delta^2 in (nW/m^2/sr)^2 for 850nm from Mitchell-Winne+15
1494642.6249493707, 0.0002750306174703475
892007.2967320038, 0.000412244183164503
520926.5585621855, 0.0006750582427561359
282892.0530523294, 0.0011861382679669867
168845.02429458033, 0.0018749337222273889
91687.0917344401, 0.0031797666734080772
54728.32956700474, 0.005300574782285455
31499.95607605286, 0.008834248699021753
15117.284062648314, 0.01694922904185863
7523.493011949671, 0.03139254990963132
4393.425813848165, 0.04961677830936449
2739.3685362265496, 0.07984887530400137
1745.6006582640828, 0.12186544247136827
1161.871727741688, 0.17330860438140025
968.8050918617458, 0.20307018627350346

