# k, Delta^2 (mK)
# big blue points in Fig. 4 of Adam's sensitivity paper
0.025226752541416902, 0.0017563227082575453
0.03935439000553156, 0.004641588833612782
0.06270825856678497, 0.010394092340332518
0.10163694995519414, 0.022270082328302895
0.16189780516477117, 0.03502390033567053
0.25570897261377373, 0.058208714674342216
0.40214656576868363, 0.09358861528011173
