# top of blue shared region in Fig. 1 in 
"FOREGROUND CONTAMINATION IN LYα INTENSITY MAPPING DURING THE EPOCH OF REIONIZATION"
# k (h/Mpc), Delta^2 (Jy/sr)^2
0.010384465336831359, 2.4844477235891738
0.012873067820783178, 5.337643404825432
0.0172810467277961, 12.322385495965785
0.023198612899343714, 27.77610699263502
0.03240850468093618, 61.141924983279246
0.05142984674888732, 137.90081624294868
0.07476481702076367, 334.01730196659446
0.12055739349552454, 668.616918986408
0.20554733288046304, 1338.657497972632
0.3421883176434975, 2435.8531966904084
0.5742310698591735, 4225.7850891099315
0.8897873629580297, 8258.237310498187
1.2935886097385223, 16924.230705758437
1.9259936461963203, 41987.0721355655
2.9601007461797137, 138737.50508810743
4.3373535234429745, 387810.769568642
5.963338077666161, 917000.616856917
8.948053527294451, 3667424.971344732
