# bottom of blue shared region in Fig. 1 in 
"FOREGROUND CONTAMINATION IN LYα INTENSITY MAPPING DURING THE EPOCH OF REIONIZATION"
# k (h/Mpc), Delta^2 (Jy/sr)^2
0.01691832850010744, 0.01128871522118125
0.023822466592523413, 0.029370054790932222
0.03172943565259463, 0.05091130562126815
0.044326893430954376, 0.10684265376455325
0.06192418284728004, 0.2408690766527083
0.08582877896442384, 0.42768002984504316
0.12379940522694276, 0.706985883586279
0.17435705257734269, 1.0621651206144849
0.2925856718618097, 1.9327942775508848
0.5068686644074862, 3.7786182051934225
0.9584031700331012, 10.078697098933908
1.633753419041546, 32.52890937139215
2.5513293824658345, 102.47888946079692
4.245847519879906, 473.1440567466974
6.321078289589941, 1420.8533059930342
9.410354539693556, 4583.645738919595
